global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
234,0,F,DOWN,0.27,"(2, 0)","(5, 0)",1,1,0
235,0,M,RIGHT,0.23000000000000018,"(2, 0)","(5, 1)",1,1,0
236,0,F,UP,-0.11999999999999986,"(1, 0)","(5, 1)",1,1,0
237,0,M,RIGHT,0.22,"(1, 0)","(5, 2)",1,1,0
238,0,F,UP,-0.10999999999999972,"(0, 0)","(5, 2)",1,1,0
239,0,M,RIGHT,0.21000000000000005,"(0, 0)","(5, 3)",1,1,0
240,0,F,WAIT,0.07000000000000028,"(0, 0)","(5, 3)",1,1,0
241,0,M,LEFT,-0.18000000000000002,"(0, 0)","(5, 2)",1,1,0
242,0,F,RIGHT,0.28000000000000014,"(0, 1)","(5, 2)",1,1,0
243,0,M,RIGHT,0.21000000000000005,"(0, 1)","(5, 3)",1,1,0
244,0,F,WAIT,0.06000000000000015,"(0, 1)","(5, 3)",1,1,0
245,0,M,WAIT,-0.009999999999999967,"(0, 1)","(5, 3)",1,1,0
246,0,F,DOWN,0.27,"(1, 1)","(5, 3)",1,1,0
247,0,M,RIGHT,0.2000000000000001,"(1, 1)","(5, 4)",1,1,0
248,0,F,LEFT,-0.11999999999999986,"(1, 0)","(5, 4)",1,1,0
249,0,M,UP,-0.18999999999999997,"(1, 0)","(4, 4)",1,1,0
250,0,F,DOWN,0.27,"(2, 0)","(4, 4)",1,1,0
251,0,M,RIGHT,0.2000000000000001,"(2, 0)","(4, 5)",1,1,0
252,0,F,RIGHT,0.26000000000000023,"(2, 1)","(4, 5)",1,1,0
253,0,M,DOWN,0.19000000000000003,"(2, 1)","(5, 5)",1,1,0
254,0,F,RIGHT,0.2500000000000001,"(2, 2)","(5, 5)",1,1,0
255,0,M,RIGHT,0.18000000000000002,"(2, 2)","(5, 6)",1,1,0
256,0,F,DOWN,0.24000000000000013,"(3, 2)","(5, 6)",1,1,0
257,0,M,RIGHT,0.17,"(3, 2)","(5, 7)",1,1,0
258,0,F,WAIT,0.0200000000000001,"(3, 2)","(5, 7)",1,1,0
259,0,M,DROPOFF,5.6899999999999995,"(3, 2)","(5, 7)",1,0,0
260,0,F,WAIT,0.0200000000000001,"(3, 2)","(5, 7)",1,0,0
261,0,M,WAIT,0.07000000000000028,"(3, 2)","(5, 7)",1,0,0
262,0,F,WAIT,0.0200000000000001,"(3, 2)","(5, 7)",1,0,0
263,0,M,UP,0.28000000000000014,"(3, 2)","(4, 7)",1,0,0
264,0,F,LEFT,-0.14999999999999994,"(3, 1)","(4, 7)",1,0,0
265,0,M,LEFT,0.27,"(3, 1)","(4, 6)",1,0,0
266,0,F,LEFT,-0.1399999999999998,"(3, 0)","(4, 6)",1,0,0
267,0,M,LEFT,0.26000000000000023,"(3, 0)","(4, 5)",1,0,0
268,0,F,UP,-0.13,"(2, 0)","(4, 5)",1,0,0
269,0,M,RIGHT,-0.13,"(2, 0)","(4, 6)",1,0,0
270,0,F,DOWN,0.26000000000000023,"(3, 0)","(4, 6)",1,0,0
271,0,M,WAIT,0.05,"(3, 0)","(4, 6)",1,0,0
272,0,F,RIGHT,0.2500000000000001,"(3, 1)","(4, 6)",1,0,0
273,0,M,UP,0.26000000000000023,"(3, 1)","(3, 6)",1,0,0
274,0,F,LEFT,-0.1399999999999998,"(3, 0)","(3, 6)",1,0,0
275,0,M,DOWN,-0.13,"(3, 0)","(4, 6)",1,0,0
